,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.368822943800682,-5.196989730214896,3.924294679250698,-6.748436338127903,-6.409780701891546,-4.298859981837815,6.863615667636873,0.2835918842935756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,-2.1370881006008458,-0.7877538765640688,2.7686851290872494,-2.963665822961625,2.672893422035132,-3.403659436246413,-2.491258924220962,-0.3194729766004407,-1.2932768615318357,1.7651613349657116,-2.8803906287248124,-2.336341286251833,-2.0260506612882487,2.861954105286601,-1.0382735582085334,2.285263293195611,0.06534588308705391,-2.2794919376005884,0.5186988352475352,-0.10521991469022884,2.501508351370283,-0.5437903710158603,0.4418702053866288,2.8974086063108566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.8724863940341909,3.484223119738276,2.386019071185872,-1.5091140702547428,3.3345292232219967,-2.7660343099898044,-1.4111553903386334,0.3926211657800138,2.1154418632405334,3.4930576683692336,2.017751501480476,-1.13321317621492,-1.8905351502181185,2.612402522587544,2.971614783719741,1.7039384486885303,0.2059772981909358,-0.6663078164155176,-2.073882603027063,1.0449761531872954,0.8244615227861165,-2.7062126905882176,-2.8621818780706425,-0.9319476600658598,1.3759759977203871,-3.4700099262527324,2.3202494169915995,0.05327620097509245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,3.550971609831786,0.5820741019721329,-3.13315251928819,-1.5166828598268052,0.5334299602270263,3.131723482262847,1.5454999384777053,-0.3376228456077168,-1.7622431025141965,2.212738922181185,-0.6994435202719669,0.7045226297107621,0.5240691281198262,3.186654833755863,-0.5706869727393604,0.896284098353608,2.2181044243741748,2.6609759391824492,1.1287526408893167,2.3780317364590595,1.0205951001759792,1.868361439721561,1.7713368807305296,1.2665420300037478,1.8798076798386671,2.550255567466141,-2.9544862806656216,0.15992941057638888,-2.5546964477456724,2.041421468827869,0.5708129910045234,0.9847944412673493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.512746434363855,-7.767499258609239,1.437477173393722,-4.523034956544534,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,3.812193028674553,5.422737735020414,0.9727414746803831,4.0921797726150775,4.99568491222198,6.346038747219227,5.467555483171793,-5.483031849642365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.748609266614091,4.299083795183293,-3.8776092669215574,3.927393600181423,3.8677629200185883,-0.9817556764262152,0.894811927064378,6.448792451064335,-6.233184697408473,1.7110501661560402,-6.678550616947435,0.8107196436948012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,-2.483994122851229,1.009724188205301,-0.3082932241313192,-0.5925336614186589,2.8195739524047547,1.0219388781661034,-2.347814704516596,-2.0454706562428724,0.4439495234923574,3.561781510827609,-1.9576054472926623,0.7684637307141782,-1.2543977735560001,1.1703119303083471,2.93659209761748,1.0813650321701531,2.8693576785957107,0.14550137070839098,1.1322660986995214,0.4403036940879219,-3.474005225159281,2.2951655020024178,-1.550149718212352,-3.577879881410259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1182832143295722,-0.6662003219989274,1.1777967695012541,3.467505963338055,2.8961892500894515,0.4771284311417525,-0.47413288907970497,-3.384432763199391,2.1930138864561646,2.045347567350753,-0.6751372974240235,1.8943579329758857,0.3204030459462861,-2.544391674355804,1.158613994087856,-2.926818763897374,0.36442044044676347,0.5249755943099559,-1.118034549580071,0.9385403970196093,3.0489222315724622,-2.040248840246213,0.44491723976946806,2.222943400344755,-2.8925799962991205,2.3804221282663316,2.7524655181852453,1.9187352342163293,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3012545213033615,-2.608274444929524,-2.284065129409452,5.933563891842253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
